,file_name,compile_time,run_time,status,timer_line,total_time
0,01_mm1.c,136ms,2329ms,AC,0616-1440061408,2102121
1,01_mm2.c,119ms,2083ms,AC,0874-1440061408,1859100
2,01_mm3.c,120ms,1628ms,AC,0856-1440061408,1402134
3,03_sort1.c,135ms,1236ms,AC,1000000-0007,699919
4,03_sort2.c,141ms,21108ms,AC,30000000-0007,7657522
5,03_sort3.c,137ms,4065ms,AC,5000000-0007,1624967
6,04_spmv1.c,114ms,2167ms,AC,50000-1436870920,1195928
7,04_spmv2.c,113ms,1321ms,AC,100000-1434870920,710829
8,04_spmv3.c,116ms,1972ms,AC,1000-1436870920,1064225
9,fft0.c,210ms,4002ms,AC,50000-0001,3897747
10,fft1.c,207ms,8455ms,AC,100000-0001,8245550
11,fft2.c,205ms,8320ms,AC,150000-0001,8166089
12,gameoflife-gosper.c,127ms,5095ms,AC,0010-1432871228,5076357
13,gameoflife-oscillator.c,144ms,4530ms,AC,0010-1432771028,4513430
14,gameoflife-p61glidergun.c,133ms,4501ms,AC,0010-1433240044,4456468
15,h-1-01.c,113ms,19647ms,AC,100000000-100000000,19631661
16,h-1-02.c,111ms,1723ms,AC,10000000-10000000,1707580
17,h-1-03.c,111ms,9422ms,AC,50000000-50000000,9406907
18,h-2-01.c,110ms,23975ms,AC,0001-500000,23960443
19,h-2-02.c,113ms,24162ms,AC,0001-500000,24147159
20,h-2-03.c,125ms,29823ms,AC,0001-500000,29808281
21,h-3-01.c,135ms,1132ms,AC,640000-3200,558009
22,h-3-02.c,144ms,1080ms,AC,640000-3200,520757
23,h-3-03.c,125ms,1113ms,AC,640000-3200,536807
24,h-4-01.c,116ms,1268ms,AC,0003-0010,1253441
25,h-4-02.c,121ms,4006ms,AC,0006-0010,3990374
26,h-4-03.c,136ms,7313ms,AC,0006-0010,7298017
27,h-5-01.c,128ms,2465ms,AC,1400-1431693204,1639437
28,h-5-02.c,145ms,2472ms,AC,1400-1431693204,1660605
29,h-5-03.c,125ms,2633ms,AC,1400-1431693204,1790818
30,h-6-01.c,-1ms,-1ms,0,200000000-200000000,11089642
31,h-6-02.c,-1ms,-1ms,0,300000000-300000000,16181849
32,h-6-03.c,-1ms,-1ms,0,400000000-400000000,21771305
33,h-7-01.c,112ms,2414ms,AC,600000-0000,1093694
34,h-8-01.c,122ms,2981ms,AC,1960000-5600,1286063
35,h-8-02.c,126ms,3148ms,AC,1960000-5600,1457600
36,h-8-03.c,124ms,2992ms,AC,1960000-5600,1282527
37,if-combine1.c,143ms,3612ms,AC,0001-0010,3598077
38,if-combine2.c,143ms,5320ms,AC,0001-0010,5306208
39,if-combine3.c,153ms,9035ms,AC,0001-0010,9020890
40,large_loop_array_1.c,158ms,9948ms,AC,2048--1423284600,9928708
41,large_loop_array_2.c,115ms,19675ms,AC,4096--1423300984,19659704
42,large_loop_array_3.c,114ms,7977ms,AC,8192--1423333752,7961133
43,matmul1.c,115ms,2111ms,AC,1000-1435674800,1673591
44,matmul2.c,118ms,2051ms,AC,1000-1435674800,1613739
45,matmul3.c,123ms,2065ms,AC,1000-1435674800,1620050
46,recursive_call_1.c,133ms,16010ms,AC,0001-0112,15996043
47,recursive_call_2.c,137ms,5646ms,AC,0001-0112,5631962
48,recursive_call_3.c,114ms,9116ms,AC,0001-0112,9102296
49,shuffle0.c,112ms,1562ms,AC,100000-9331,1359936
50,shuffle1.c,109ms,2097ms,AC,100000-17646,1045941
51,shuffle2.c,117ms,13145ms,AC,5000000-16081,3312120
52,sl1.c,127ms,2493ms,AC,0003-1435200,2472340
53,sl2.c,163ms,961ms,AC,0003-955200,941920
54,sl3.c,141ms,388ms,AC,0003-715200,370039
55,transpose0.c,133ms,1103ms,AC,0030--001,1085690
56,transpose1.c,125ms,1592ms,AC,0040--001,1576222
57,transpose2.c,124ms,2739ms,AC,0100--001,2722946
